rank_arwu;title;flag;regional;score_arwu;score_alumni
201;The George Washington University;;78-104;11.8;
201;The Hong Kong University of Science and Technology;;3-4;0;
201;The University of Alabama at Birmingham;;78-104;0;
201;The University of Auckland;;1-2;13.9;
201;The University of Dundee;;21-29;0;
201;The University of New Mexico - Albuquerque;;78-104;0;
201;The University of Texas Health Science Center at Houston;;78-104;0;
201;TU Dresden;;14-22;0;
201;Umea University;;6-8;0;
201;University College Dublin;;2;0;
201;University of Aberdeen;;21-29;0;
201;University of Bergen;;2-3;0;
201;University of Bochum;;14-22;0;
201;University of Bordeaux;;9-14;0;
201;University of Cape Town;;1-2;19;
201;University of Cincinnati;;78-104;0;
201;University of Erlangen-Nuremberg;;14-22;0;
201;University of Exeter;;21-29;0;
201;University of Florence;;7-8;0;
201;University of Guelph;;8-16;0;
201;University of Houston;;78-104;0;
201;University of Innsbruck;;2-3;0;
201;University of Kansas;;78-104;11.8;
201;University of Kentucky;;78-104;10.5;
201;University of Leicester;;21-29;0;
201;University of Leipzig;;14-22;11.8;
201;University of Liege;;5;7.4;
201;University of Lisbon;;1;0;
201;University of Lorraine;;9-14;11.8;
201;University of Mainz;;14-22;0;
201;University of Marburg;;14-22;10.5;
201;University of Maryland, Baltimore; Baltimore;;78-104;0;
201;University of Missouri - Columbia;;78-104;9.1;
201;University of Montpellier 2;;9-14;10.5;
201;University of Nebraska - Lincoln;;78-104;17.5;
201;University of Notre Dame;;78-104;12.9;
201;University of Oregon;;78-104;9.1;
201;University of Otago;;1-2;0;
201;University of Ottawa;;8-16;0;
201;University of South Carolina - Columbia;;78-104;0;
201;University of South Florida;;78-104;0;
201;University of St Andrews;;21-29;10.5;
201;University of Stuttgart;;14-22;19;
201;University of Tennessee - Knoxville;;78-104;10.5;
201;University of the Witwatersrand;;1-2;19;
201;University of Tsukuba;;9-10;0;
201;University of Valencia;;2-4;0;
201;University of Victoria;;8-16;0;
201;University of Waterloo;;8-16;0;
201;University of York;;21-29;0;
201;Virginia Polytechnic Institute and State University;;78-104;11.8;
201;Washington State University;;78-104;0;
201;Western University (The University of Western Ontario);;8-16;0;
201;Xian Jiao Tong University;;7-12;0;
201;Yeshiva University;;78-104;0;
201;Yonsei University;;2-5;0;
301;Beihang University;;13-25;0;
301;Brandeis University;;105-125;19.7;
301;Brigham Young University;;105-125;9.1;
301;Central South University;;13-25;0;
301;Chalmers University of Technology;;9-10;0;
301;Chiba University;;11-14;0;
301;China Agricultural University;;13-25;0;
301;City University of New York City College;;105-125;29.3;
