"country_tid";"rank_history";"region_tid";"score_history";"title"
319.0;73.0;317.0;0.0;"The University of Western Australia"
87.0;74.0;71.0;0.0;"Tsinghua University"
350.0;75.0;349.0;0.0;"Universidad de Buenos Aires"
353.0;76.0;349.0;0.0;"Universidade Federal Fluminense"
174.0;78.0;140.0;0.0;"University of Bologna"
162.0;79.0;140.0;0.0;"Universität Bielefeld"
143.0;80.0;140.0;0.0;"University of Vienna"
146.0;81.0;140.0;0.0;"Université Catholique de Louvain (UCL)"
146.0;82.0;140.0;0.0;"Université Libre de Bruxelles (ULB)"
171.0;83.0;140.0;0.0;"University College Dublin"
187.0;84.0;140.0;0.0;"University of Amsterdam"
257.0;85.0;213.0;0.0;"University of California, San Diego (UCSD)"
334.0;86.0;317.0;0.0;"University of Canterbury"
152.0;87.0;140.0;0.0;"University of Copenhagen"
208.0;88.0;140.0;0.0;"University of Edinburgh"
156.0;89.0;140.0;0.0;"University of Helsinki"
257.0;90.0;213.0;0.0;"University of Illinois at Urbana-Champaign"
257.0;91.0;213.0;0.0;"University of North Carolina, Chapel Hill"
189.0;92.0;140.0;0.0;"University of Oslo"
208.0;93.0;140.0;0.0;"University of St Andrews"
208.0;94.0;140.0;0.0;"University of Sussex"
257.0;95.0;213.0;0.0;"University of Virginia"
257.0;96.0;213.0;0.0;"University of Washington"
208.0;97.0;140.0;0.0;"University of York"
205.0;98.0;140.0;0.0;"University of Zurich (UZH)"
334.0;99.0;317.0;0.0;"Victoria University of Wellington"
222.0;100.0;213.0;0.0;"York University"
152.0;101.0;140.0;0.0;"Aarhus University"
257.0;102.0;213.0;0.0;"California Institute of Technology (Caltech)"
257.0;103.0;213.0;0.0;"City University of New York"
158.0;104.0;140.0;0.0;"Ecole normale supérieure, Paris"
162.0;105.0;140.0;0.0;"Georg-August-Universität Göttingen"
257.0;106.0;213.0;0.0;"George Washington University"
222.0;107.0;213.0;0.0;"Laval University"
203.0;108.0;140.0;0.0;"Lund University"
257.0;109.0;213.0;0.0;"Ohio State University"
208.0;110.0;140.0;0.0;"Queen's University of Belfast"
208.0;111.0;140.0;0.0;"Royal Holloway University of London"
257.0;112.0;213.0;0.0;"Rutgers, The State University of New Jersey, New Brunswick"
106.0;113.0;71.0;0.0;"Seoul National University"
208.0;114.0;140.0;0.0;"SOAS, University of London "
74.0;115.0;71.0;0.0;"Tel Aviv University"
257.0;116.0;213.0;0.0;"Texas A&M University"
94.0;117.0;71.0;0.0;"The Hong Kong University of Science and Technology"
319.0;118.0;317.0;0.0;"The University of Adelaide"
222.0;119.0;213.0;0.0;"Western University"
199.0;120.0;140.0;0.0;"Universidad Autónoma de Madrid"
353.0;121.0;349.0;0.0;"Universidade Estadual Paulista 'Júlio de Mesquita Filho' (UNESP)"
174.0;122.0;140.0;0.0;"University of Florence"
174.0;123.0;140.0;0.0;"Università degli Studi di Roma - Tor Vergata"
174.0;124.0;140.0;0.0;"University of Pisa"
199.0;125.0;140.0;0.0;"University of Barcelona"
158.0;126.0;140.0;0.0;"Université Aix-Marseille"
222.0;127.0;213.0;0.0;"Université de Montréal "
208.0;128.0;140.0;0.0;"University of Aberdeen"
222.0;129.0;213.0;0.0;"University of Alberta"
257.0;130.0;213.0;0.0;"University of Arizona"
208.0;131.0;140.0;0.0;"University of Birmingham"
208.0;132.0;140.0;0.0;"University of Bristol"
257.0;133.0;213.0;0.0;"University of California, Davis"
54.0;134.0;6.0;0.0;"University of Cape Town"
208.0;135.0;140.0;0.0;"The University of Exeter"
205.0;136.0;140.0;0.0;"University of Geneva"
146.0;137.0;140.0;0.0;"University of Ghent"
208.0;138.0;140.0;0.0;"University of Glasgow"
187.0;139.0;140.0;0.0;"University of Groningen"
208.0;140.0;140.0;0.0;"University of Leeds"
208.0;141.0;140.0;0.0;"University of Leicester"
208.0;142.0;140.0;0.0;"University of Liverpool"
