"country_tid";"rank_pharmacy";"region_tid";"score_pharmacy";"title"
205.0;98.0;140.0;0.0;"University of Zurich (UZH)"
257.0;99.0;213.0;0.0;"Virginia Commonwealth University"
106.0;100.0;71.0;0.0;"Yonsei University"
257.0;101.0;213.0;0.0;"Baylor College of Medicine"
257.0;102.0;213.0;0.0;"Boston University"
208.0;103.0;140.0;0.0;"Cardiff University"
128.0;104.0;71.0;0.0;"China Medical University Taichung"
131.0;105.0;71.0;0.0;"Chulalongkorn University"
162.0;106.0;140.0;0.0;"Eberhard Karls Universität Tübingen"
106.0;107.0;71.0;0.0;"Ewha Womans University"
106.0;108.0;71.0;0.0;"Hanyang University"
162.0;109.0;140.0;0.0;"Johannes Gutenberg Universität Mainz"
100.0;110.0;71.0;0.0;"Keio University"
100.0;111.0;71.0;0.0;"Kyushu University"
100.0;112.0;71.0;0.0;"Nagoya University"
87.0;113.0;71.0;0.0;"Nanjing University"
257.0;114.0;213.0;0.0;"Northeastern University"
222.0;115.0;213.0;0.0;"Queen's University, Ontario"
208.0;116.0;140.0;0.0;"Queen's University of Belfast"
257.0;117.0;213.0;0.0;"Rutgers, The State University of New Jersey, New Brunswick"
87.0;118.0;71.0;0.0;"Shanghai Jiao Tong University"
257.0;119.0;213.0;0.0;"Temple University"
94.0;120.0;71.0;0.0;"The Chinese University of Hong Kong"
319.0;121.0;317.0;0.0;"The University of Western Australia"
100.0;122.0;71.0;0.0;"Tohoku University"
100.0;123.0;71.0;0.0;"Tokyo University of Pharmacy and Life Sciences"
100.0;124.0;71.0;0.0;"Tokyo University of Science"
87.0;125.0;71.0;0.0;"Tsinghua University"
199.0;126.0;140.0;0.0;"University Complutense Madrid"
350.0;127.0;349.0;0.0;"Universidad de Buenos Aires"
199.0;128.0;140.0;0.0;"Universidade de Santiago de Compostela"
353.0;129.0;349.0;0.0;"Universidade Federal de Minas Gerais   "
353.0;130.0;349.0;0.0;"Universidade Federal de Santa Catarina"
353.0;131.0;349.0;0.0;"Universidade Federal do Rio Grande Do Sul"
174.0;132.0;140.0;0.0;"University of Florence"
174.0;133.0;140.0;0.0;"University of Bologna"
162.0;134.0;140.0;0.0;"Universität Düsseldorf"
143.0;135.0;140.0;0.0;"University of Vienna"
158.0;136.0;140.0;0.0;"Université de Strasbourg"
146.0;137.0;140.0;0.0;"Université Libre de Bruxelles (ULB)"
113.0;138.0;71.0;0.0;"Universiti Malaya (UM)"
257.0;139.0;213.0;0.0;"University at Buffalo SUNY"
205.0;140.0;140.0;0.0;"University of Bern"
257.0;141.0;213.0;0.0;"UC Irvine - Extension, English and Certificates for Internationals"
54.0;142.0;6.0;0.0;"University of Cape Town"
146.0;143.0;140.0;0.0;"University of Ghent"
156.0;144.0;140.0;0.0;"University of Helsinki"
257.0;145.0;213.0;0.0;"University of Iowa"
257.0;146.0;213.0;0.0;"University of Kentucky"
208.0;147.0;140.0;0.0;"University of Liverpool"
208.0;148.0;140.0;0.0;"University of Southampton"
54.0;149.0;6.0;0.0;"University of the Witwatersrand"
257.0;150.0;213.0;0.0;"University of Virginia"
187.0;151.0;140.0;0.0;"VU University Amsterdam"
21.0;152.0;6.0;0.0;"Alexandria University "
96.0;153.0;71.0;0.0;"Banaras Hindu University"
21.0;154.0;6.0;0.0;"Cairo University (جامعة القاهرة)"
128.0;155.0;71.0;0.0;"Chang Gung University"
151.0;156.0;140.0;0.0;"Charles University"
222.0;157.0;213.0;0.0;"Dalhousie University"
74.0;158.0;71.0;0.0;"The Hebrew University of Jerusalem"
100.0;159.0;71.0;0.0;"Hiroshima University"
241.0;160.0;213.0;0.0;"Instituto Politécnico Nacional (IPN)"
222.0;161.0;213.0;0.0;"Laval University"
257.0;162.0;213.0;0.0;"Icahn School of Medicine at Mount Sinai"
166.0;163.0;140.0;0.0;"National and Kapodistrian University of Athens"
