"country_tid";"rank_electrical";"region_tid";"score_electrical";"title"
208.0;93.0;140.0;0.0;"University of Edinburgh"
257.0;94.0;213.0;0.0;"University of Pennsylvania"
208.0;95.0;140.0;0.0;"University of Southampton"
222.0;96.0;213.0;0.0;"University of Waterloo"
257.0;97.0;213.0;0.0;"University of Wisconsin-Madison"
257.0;98.0;213.0;0.0;"Virginia Tech"
257.0;99.0;213.0;0.0;"Yale University"
106.0;100.0;71.0;0.0;"Yonsei University"
87.0;101.0;71.0;0.0;"Zhejiang University"
156.0;102.0;140.0;0.0;"Aalto University"
87.0;103.0;71.0;0.0;"Beijing Institute of Technology"
257.0;104.0;213.0;0.0;"Duke University"
158.0;105.0;140.0;0.0;"Grenoble INP, Grenoble Institute of Technology"
106.0;106.0;71.0;0.0;"Hanyang University"
96.0;107.0;71.0;0.0;"Indian Institute of Technology Kanpur (IITK)"
257.0;108.0;213.0;0.0;"Johns Hopkins University"
77.0;109.0;71.0;0.0;"King Fahd University of Petroleum & Minerals"
100.0;110.0;71.0;0.0;"Kyushu University"
203.0;111.0;140.0;0.0;"Linköping University"
100.0;112.0;71.0;0.0;"Nagoya University"
128.0;113.0;71.0;0.0;"National Central University"
128.0;114.0;71.0;0.0;"National Taiwan University of Science And Technology (formerly National Taiwan Institute of Technology)"
257.0;115.0;213.0;0.0;"Northwestern University"
257.0;116.0;213.0;0.0;"Ohio State University"
199.0;117.0;140.0;0.0;"Politécnica de Madrid"
319.0;118.0;317.0;0.0;"Queensland University of Technology (QUT)"
257.0;119.0;213.0;0.0;"Rice University"
174.0;120.0;140.0;0.0;"Sapienza University of Rome"
319.0;121.0;317.0;0.0;"The University of Adelaide"
334.0;122.0;317.0;0.0;"The University of Auckland"
208.0;123.0;140.0;0.0;"The University of Nottingham"
208.0;124.0;140.0;0.0;"The University of Sheffield"
319.0;125.0;317.0;0.0;"The University of Western Australia"
241.0;126.0;213.0;0.0;"Universidad Nacional Autónoma de México (UNAM)"
199.0;127.0;140.0;0.0;"Universitat Politècnica de València"
353.0;128.0;349.0;0.0;"Universidade Federal do Rio de Janeiro"
174.0;129.0;140.0;0.0;"University of Padua"
174.0;130.0;140.0;0.0;"University of Bologna"
222.0;131.0;213.0;0.0;"Université de Montréal "
113.0;132.0;71.0;0.0;"Universiti Kebangsaan Malaysia (UKM)"
113.0;133.0;71.0;0.0;"Universiti Putra Malaysia (UPM)"
113.0;134.0;71.0;0.0;"Universiti Sains Malaysia (USM)"
113.0;135.0;71.0;0.0;"Universiti Teknologi Malaysia (UTM)"
