"country_tid";"rank_education";"region_tid";"score_education";"title"
187.0;80.0;140.0;0.0;"University of Amsterdam"
208.0;81.0;140.0;0.0;"University of Bath"
208.0;82.0;140.0;0.0;"University of Birmingham"
222.0;83.0;213.0;0.0;"University of Calgary"
257.0;84.0;213.0;0.0;"University of California, Davis"
334.0;85.0;317.0;0.0;"University of Canterbury"
257.0;86.0;213.0;0.0;"University of Chicago"
208.0;87.0;140.0;0.0;"University of Dundee"
208.0;88.0;140.0;0.0;"University of Glasgow"
156.0;89.0;140.0;0.0;"University of Helsinki"
257.0;90.0;213.0;0.0;"University of Illinois at Chicago"
257.0;91.0;213.0;0.0;"University of Iowa"
156.0;92.0;140.0;0.0;"University of Jyväskylä"
257.0;93.0;213.0;0.0;"University of Minnesota"
189.0;94.0;140.0;0.0;"University of Oslo"
334.0;95.0;317.0;0.0;"University of Otago"
319.0;96.0;317.0;0.0;"University of South Australia"
187.0;97.0;140.0;0.0;"University of Twente"
319.0;98.0;317.0;0.0;"University of Wollongong"
208.0;99.0;140.0;0.0;"University of York"
187.0;100.0;140.0;0.0;"Utrecht University"
334.0;101.0;317.0;0.0;"Victoria University of Wellington"
208.0;102.0;140.0;0.0;"Cardiff University"
257.0;103.0;213.0;0.0;"City University of New York"
162.0;104.0;140.0;0.0;"Freie Universität Berlin"
100.0;105.0;71.0;0.0;"Hiroshima University"
162.0;106.0;140.0;0.0;"Humboldt-Universität zu Berlin"
77.0;107.0;71.0;0.0;"King Saud University"
100.0;108.0;71.0;0.0;"Kyoto University"
319.0;109.0;317.0;0.0;"La Trobe University"
187.0;110.0;140.0;0.0;"Leiden University"
162.0;111.0;140.0;0.0;"Ludwig-Maximilians-Universität München"
187.0;112.0;140.0;0.0;"Maastricht University"
134.0;113.0;71.0;0.0;"Middle East Technical University"
257.0;114.0;213.0;0.0;"Purdue University"
222.0;115.0;213.0;0.0;"Queen's University, Ontario"
54.0;116.0;6.0;0.0;"Stellenbosch University"
203.0;117.0;140.0;0.0;"Stockholm University"
257.0;118.0;213.0;0.0;"Syracuse University"
319.0;119.0;317.0;0.0;"The University of Adelaide"
208.0;120.0;140.0;0.0;"The University of Warwick"
222.0;121.0;213.0;0.0;"Western University"
171.0;122.0;140.0;0.0;"Trinity College Dublin"
87.0;123.0;71.0;0.0;"Tsinghua University"
199.0;124.0;140.0;0.0;"Universidad Autónoma de Madrid"
199.0;125.0;140.0;0.0;"University Complutense Madrid"
199.0;126.0;140.0;0.0;"University of Barcelona"
162.0;127.0;140.0;0.0;"Universität Freiburg"
113.0;128.0;71.0;0.0;"Universiti Sains Malaysia (USM)"
257.0;129.0;213.0;0.0;"University of Arizona"
152.0;130.0;140.0;0.0;"University of Copenhagen"
208.0;131.0;140.0;0.0;"The University of Exeter"
257.0;132.0;213.0;0.0;"University of Florida"
203.0;133.0;140.0;0.0;"University of Gothenburg"
257.0;134.0;213.0;0.0;"University of Maryland, College Park"
257.0;135.0;213.0;0.0;"University of Miami"
257.0;136.0;213.0;0.0;"University of Missouri, Columbia (Mizzou)"
319.0;137.0;317.0;0.0;"The University of Newcastle, Australia (UoN)"
257.0;138.0;213.0;0.0;"University of North Carolina, Chapel Hill"
257.0;139.0;213.0;0.0;"University of Notre Dame"
222.0;140.0;213.0;0.0;"University of Ottawa"
257.0;141.0;213.0;0.0;"University of Pittsburgh"
54.0;142.0;6.0;0.0;"University of Pretoria"
208.0;143.0;140.0;0.0;"University of Southampton"
257.0;144.0;213.0;0.0;"University of Southern California"
319.0;145.0;317.0;0.0;"University of Southern Queensland "
208.0;146.0;140.0;0.0;"University of Stirling"
208.0;147.0;140.0;0.0;"University of Strathclyde"
208.0;148.0;140.0;0.0;"University of Sussex"
54.0;149.0;6.0;0.0;"University of the Witwatersrand"
257.0;150.0;213.0;0.0;"University of Utah"
257.0;151.0;213.0;0.0;"University of Virginia"
319.0;152.0;317.0;0.0;"Australian Catholic University"
257.0;153.0;213.0;0.0;"Brigham Young University"
257.0;154.0;213.0;0.0;"Brown University"
208.0;155.0;140.0;0.0;"Brunel University London"
208.0;156.0;140.0;0.0;"Canterbury Christ Church University"
257.0;158.0;213.0;0.0;"Duke University"
319.0;159.0;317.0;0.0;"Edith Cowan University "
257.0;160.0;213.0;0.0;"George Washington University"
257.0;161.0;213.0;0.0;"Illinois State University"
257.0;162.0;213.0;0.0;"Iowa State University"
319.0;163.0;317.0;0.0;"James Cook University"
106.0;164.0;71.0;0.0;"Korea University"
208.0;165.0;140.0;0.0;"Loughborough University"
222.0;166.0;213.0;0.0;"Memorial University of Newfoundland"
128.0;167.0;71.0;0.0;"National Taiwan University of Science And Technology (formerly National Taiwan Institute of Technology)"
257.0;168.0;213.0;0.0;"North Carolina State University"
257.0;169.0;213.0;0.0;"Northwestern University"
208.0;170.0;140.0;0.0;"Queen's University of Belfast"
319.0;171.0;317.0;0.0;"RMIT University"
257.0;172.0;213.0;0.0;"Rutgers, The State University of New Jersey, New Brunswick"
222.0;173.0;213.0;0.0;"Simon Fraser University"
257.0;174.0;213.0;0.0;"Texas A&M University"
199.0;175.0;140.0;0.0;"Universidad de Sevilla"
353.0;176.0;349.0;0.0;"Universidade Estadual Paulista 'Júlio de Mesquita Filho' (UNESP)"
353.0;177.0;349.0;0.0;"Universidade Federal do Rio de Janeiro"
353.0;178.0;349.0;0.0;"Universidade Federal do Rio Grande Do Sul"
199.0;179.0;140.0;0.0;"Universitat Autònoma de Barcelona"
162.0;180.0;140.0;0.0;"Universität Duisburg-Essen"
222.0;181.0;213.0;0.0;"Université de Montréal "
222.0;182.0;213.0;0.0;"Université du Québec"
171.0;183.0;140.0;0.0;"University College Cork"
171.0;184.0;140.0;0.0;"University College Dublin"
257.0;185.0;213.0;0.0;"University of California, San Diego (UCSD)"
257.0;186.0;213.0;0.0;"University of California, Santa Barbara (UCSB)"
257.0;187.0;213.0;0.0;"University of Colorado Boulder"
146.0;188.0;140.0;0.0;"University of Ghent"
187.0;189.0;140.0;0.0;"University of Groningen"
54.0;190.0;6.0;0.0;"University of Johannesburg "
208.0;191.0;140.0;0.0;"University of Leicester"
171.0;192.0;140.0;0.0;"University of Limerick"
257.0;193.0;213.0;0.0;"University of Oregon"
208.0;194.0;140.0;0.0;"University of Reading"
319.0;195.0;317.0;0.0;"University of Tasmania"
319.0;196.0;317.0;0.0;"University of Technology, Sydney"
54.0;197.0;6.0;0.0;"University of the Western Cape"
205.0;198.0;140.0;0.0;"University of Zurich (UZH)"
257.0;199.0;213.0;0.0;"Virginia Tech"
187.0;200.0;140.0;0.0;"VU University Amsterdam"
