"country_tid";"rank_statistics";"region_tid";"score_statistics";"title"
87.0;42.0;71.0;67.5;"Peking University"
94.0;43.0;71.0;67.2;"The Chinese University of Hong Kong"
146.0;44.0;140.0;67.1;"Université Catholique de Louvain (UCL)"
353.0;45.0;349.0;66.7;"Universidade de São Paulo (USP)"
106.0;46.0;71.0;66.5;"Seoul National University"
208.0;47.0;140.0;66.4;"UCL (University College London)"
208.0;48.0;140.0;66.0;"University of Southampton"
257.0;49.0;213.0;65.9;"University of Minnesota"
257.0;50.0;213.0;65.8;"University of Maryland, College Park"
152.0;51.0;140.0;0.0;"Aarhus University"
257.0;52.0;213.0;0.0;"Arizona State University"
257.0;53.0;213.0;0.0;"Boston University"
94.0;54.0;71.0;0.0;"City University of Hong Kong"
187.0;55.0;140.0;0.0;"Eindhoven University of Technology"
187.0;56.0;140.0;0.0;"Erasmus University Rotterdam"
87.0;57.0;71.0;0.0;"Fudan University"
162.0;58.0;140.0;0.0;"Humboldt-Universität zu Berlin"
96.0;59.0;71.0;0.0;"Indian Institute of Technology Delhi (IITD)"
257.0;60.0;213.0;0.0;"Iowa State University"
257.0;61.0;213.0;0.0;"Johns Hopkins University"
106.0;62.0;71.0;0.0;"Korea University"
203.0;63.0;140.0;0.0;"KTH Royal Institute of Technology"
208.0;64.0;140.0;0.0;"Lancaster University"
208.0;65.0;140.0;0.0;"London School of Economics and Political Science (LSE)"
222.0;66.0;213.0;0.0;"McGill University"
319.0;67.0;317.0;0.0;"Monash University"
128.0;68.0;71.0;0.0;"National Cheng Kung University"
128.0;69.0;71.0;0.0;"National Chiao Tung University"
128.0;70.0;71.0;0.0;"National Tsing Hua University"
257.0;71.0;213.0;0.0;"New York University (NYU)"
257.0;72.0;213.0;0.0;"North Carolina State University"
257.0;73.0;213.0;0.0;"Pennsylvania State University"
355.0;74.0;349.0;0.0;"Pontificia Universidad Católica de Chile (UC)"
257.0;75.0;213.0;0.0;"Rutgers, The State University of New Jersey, New Brunswick"
174.0;76.0;140.0;0.0;"Sapienza University of Rome"
162.0;77.0;140.0;0.0;"Technische Universität Berlin"
334.0;78.0;317.0;0.0;"The University of Auckland"
208.0;79.0;140.0;0.0;"The University of Manchester"
319.0;80.0;317.0;0.0;"The University of New South Wales"
208.0;81.0;140.0;0.0;"The University of Nottingham"
319.0;82.0;317.0;0.0;"The University of Queensland"
319.0;83.0;317.0;0.0;"The University of Sydney"
100.0;84.0;71.0;0.0;"Tokyo Institute of Technology"
199.0;85.0;140.0;0.0;"Universitat Politècnica de València"
353.0;86.0;349.0;0.0;"Universidade estadual de Campinas(Unicamp)"
174.0;87.0;140.0;0.0;"University of Bologna"
199.0;88.0;140.0;0.0;"University of Barcelona"
143.0;89.0;140.0;0.0;"University of Vienna"
208.0;90.0;140.0;0.0;"University of Bristol"
257.0;91.0;213.0;0.0;"University of California, Davis"
257.0;92.0;213.0;0.0;"University of California, San Diego (UCSD)"
152.0;93.0;140.0;0.0;"University of Copenhagen"
257.0;94.0;213.0;0.0;"University of Florida"
208.0;95.0;140.0;0.0;"University of Glasgow"
257.0;96.0;213.0;0.0;"University of Illinois at Urbana-Champaign"
257.0;97.0;213.0;0.0;"University of Southern California"
222.0;98.0;213.0;0.0;"University of Waterloo"
257.0;99.0;213.0;0.0;"Yale University"
106.0;100.0;71.0;0.0;"Yonsei University"
87.0;101.0;71.0;0.0;"Beihang University (former BUAA)"
257.0;102.0;213.0;0.0;"Brown University"
208.0;103.0;140.0;0.0;"Cardiff University"
203.0;104.0;140.0;0.0;"Chalmers University of Technology"
