"country_tid";"rank_politics";"region_tid";"score_politics";"title"
208.0;84.0;140.0;0.0;"University of Bristol"
222.0;85.0;213.0;0.0;"University of British Columbia"
54.0;86.0;6.0;0.0;"University of Cape Town"
152.0;87.0;140.0;0.0;"University of Copenhagen"
208.0;88.0;140.0;0.0;"University of Essex"
208.0;89.0;140.0;0.0;"The University of Exeter"
208.0;90.0;140.0;0.0;"University of Glasgow"
156.0;91.0;140.0;0.0;"University of Helsinki"
257.0;92.0;213.0;0.0;"University of Notre Dame"
334.0;93.0;317.0;0.0;"University of Otago"
208.0;94.0;140.0;0.0;"University of St Andrews"
208.0;95.0;140.0;0.0;"University of Sussex"
257.0;96.0;213.0;0.0;"University of Texas at Austin"
257.0;97.0;213.0;0.0;"University of Washington"
208.0;98.0;140.0;0.0;"University of York"
334.0;99.0;317.0;0.0;"Victoria University of Wellington"
187.0;100.0;140.0;0.0;"VU University Amsterdam"
146.0;101.0;140.0;0.0;"Vrije Universiteit Brussel (VUB)"
257.0;102.0;213.0;0.0;"American University"
208.0;103.0;140.0;0.0;"Aston University"
134.0;104.0;71.0;0.0;"Bilkent University"
208.0;105.0;140.0;0.0;"Brunel University London"
257.0;106.0;213.0;0.0;"Dartmouth College"
74.0;107.0;71.0;0.0;"The Hebrew University of Jerusalem"
96.0;108.0;71.0;0.0;"Jawaharlal Nehru University"
162.0;109.0;140.0;0.0;"Ludwig-Maximilians-Universität München"
187.0;110.0;140.0;0.0;"Maastricht University"
257.0;111.0;213.0;0.0;"Michigan State University"
257.0;112.0;213.0;0.0;"Ohio State University"
208.0;113.0;140.0;0.0;"Queen Mary University of London (QMUL)"
222.0;114.0;213.0;0.0;"Queen's University, Ontario"
208.0;115.0;140.0;0.0;"Queen's University of Belfast"
208.0;116.0;140.0;0.0;"Royal Holloway University of London"
257.0;117.0;213.0;0.0;"Rutgers, The State University of New Jersey, New Brunswick"
222.0;118.0;213.0;0.0;"Simon Fraser University"
54.0;119.0;6.0;0.0;"Stellenbosch University"
74.0;120.0;71.0;0.0;"Tel Aviv University"
208.0;121.0;140.0;0.0;"The University of Nottingham"
257.0;122.0;213.0;0.0;"Tufts University"
199.0;123.0;140.0;0.0;"Universitat Autònoma de Barcelona"
162.0;124.0;140.0;0.0;"Universität Frankfurt am Main"
162.0;125.0;140.0;0.0;"Universität Hamburg"
199.0;126.0;140.0;0.0;"Universitat Pompeu Fabra"
143.0;127.0;140.0;0.0;"University of Vienna"
222.0;128.0;213.0;0.0;"Université du Québec"
222.0;129.0;213.0;0.0;"University of Alberta"
146.0;130.0;140.0;0.0;"University of Antwerp"
205.0;131.0;140.0;0.0;"University of Bern"
257.0;132.0;213.0;0.0;"UC Irvine - Extension, English and Certificates for Internationals"
205.0;133.0;140.0;0.0;"University of Geneva"
146.0;134.0;140.0;0.0;"University of Ghent"
208.0;135.0;140.0;0.0;"University of Leeds"
257.0;136.0;213.0;0.0;"University of North Carolina, Chapel Hill"
189.0;137.0;140.0;0.0;"University of Oslo"
222.0;138.0;213.0;0.0;"University of Ottawa"
208.0;139.0;140.0;0.0;"University of Reading"
257.0;140.0;213.0;0.0;"University of Southern California"
152.0;141.0;140.0;0.0;"University of Southern Denmark"
205.0;142.0;140.0;0.0;"University of St.Gallen (HSG)"
257.0;143.0;213.0;0.0;"University of Virginia"
222.0;144.0;213.0;0.0;"University of Waterloo"
257.0;145.0;213.0;0.0;"University of Wisconsin-Madison"
319.0;146.0;317.0;0.0;"University of Wollongong"
205.0;147.0;140.0;0.0;"University of Zurich (UZH)"
203.0;148.0;140.0;0.0;"Uppsala University"
187.0;149.0;140.0;0.0;"Utrecht University"
222.0;150.0;213.0;0.0;"York University"
208.0;151.0;140.0;0.0;"Aberystwyth University"
257.0;152.0;213.0;0.0;"Arizona State University"
208.0;153.0;140.0;0.0;"Cardiff University"
257.0;154.0;213.0;0.0;"City University of New York"
