"country_tid";"rank_civil";"region_tid";"score_civil";"title"
353.0;86.0;349.0;0.0;"Universidade de São Paulo (USP)"
353.0;87.0;349.0;0.0;"Universidade Federal do Rio de Janeiro"
162.0;88.0;140.0;0.0;"Universität Stuttgart"
113.0;89.0;71.0;0.0;"Universiti Sains Malaysia (USM)"
222.0;90.0;213.0;0.0;"University of Alberta"
208.0;91.0;140.0;0.0;"University of Bristol"
222.0;92.0;213.0;0.0;"University of Calgary"
257.0;93.0;213.0;0.0;"University of California, Los Angeles (UCLA)"
257.0;94.0;213.0;0.0;"University of Colorado Boulder"
146.0;95.0;140.0;0.0;"University of Ghent"
257.0;96.0;213.0;0.0;"University of Michigan"
257.0;97.0;213.0;0.0;"University of Washington"
222.0;98.0;213.0;0.0;"University of Waterloo"
257.0;99.0;213.0;0.0;"Virginia Tech"
106.0;100.0;71.0;0.0;"Yonsei University"
151.0;101.0;140.0;0.0;"Brno University of Technology"
208.0;102.0;140.0;0.0;"Cardiff University"
257.0;103.0;213.0;0.0;"Carnegie Mellon University"
203.0;104.0;140.0;0.0;"Chalmers University of Technology"
131.0;105.0;71.0;0.0;"Chulalongkorn University"
257.0;106.0;213.0;0.0;"Colorado State University"
319.0;107.0;317.0;0.0;"Curtin University"
87.0;108.0;71.0;0.0;"Dalian University of Technology"
100.0;109.0;71.0;0.0;"Hokkaido University"
131.0;110.0;71.0;0.0;"King Mongkut's University of Technology Thonburi "
100.0;111.0;71.0;0.0;"Kyushu University"
222.0;112.0;213.0;0.0;"McGill University"
100.0;113.0;71.0;0.0;"Nagoya University"
87.0;114.0;71.0;0.0;"Nanjing University"
128.0;115.0;71.0;0.0;"National Taiwan University of Science And Technology (formerly National Taiwan Institute of Technology)"
257.0;116.0;213.0;0.0;"North Carolina State University"
189.0;117.0;140.0;0.0;"Norwegian University of Science And Technology"
100.0;118.0;71.0;0.0;"Osaka University"
199.0;119.0;140.0;0.0;"Politécnica de Madrid"
355.0;120.0;349.0;0.0;"Pontificia Universidad Católica de Chile (UC)"
222.0;121.0;213.0;0.0;"Queen's University, Ontario"
162.0;122.0;140.0;0.0;"RWTH Aachen University"
319.0;123.0;317.0;0.0;"RMIT University"
74.0;124.0;71.0;0.0;"Technion - Israel Institute of Technology"
143.0;125.0;140.0;0.0;"Vienna University of Technology"
208.0;126.0;140.0;0.0;"The University of Nottingham"
199.0;127.0;140.0;0.0;"Universitat Politècnica de València"
174.0;128.0;140.0;0.0;"University of Naples - Federico Ii"
174.0;129.0;140.0;0.0;"University of Padua"
