"country_tid";"rank_philosophy";"region_tid";"score_philosophy";"title"
208.0;136.0;140.0;0.0;"University of Essex"
208.0;137.0;140.0;0.0;"University of Glasgow"
208.0;138.0;140.0;0.0;"University of Leeds"
257.0;139.0;213.0;0.0;"University of Miami"
222.0;140.0;213.0;0.0;"University of Ottawa"
208.0;141.0;140.0;0.0;"University of Reading"
208.0;142.0;140.0;0.0;"University of Southampton"
208.0;143.0;140.0;0.0;"University of Stirling"
257.0;144.0;213.0;0.0;"University of Texas at Austin"
156.0;145.0;140.0;0.0;"University of Turku"
190.0;146.0;140.0;0.0;"University of Warsaw "
257.0;147.0;213.0;0.0;"University of Washington"
222.0;148.0;213.0;0.0;"University of Waterloo"
208.0;149.0;140.0;0.0;"University of York"
187.0;150.0;140.0;0.0;"Utrecht University"
152.0;151.0;140.0;0.0;"Aarhus University"
257.0;152.0;213.0;0.0;"Arizona State University"
257.0;153.0;213.0;0.0;"Carnegie Mellon University"
257.0;154.0;213.0;0.0;"Dartmouth College"
257.0;155.0;213.0;0.0;"DePaul University"
162.0;156.0;140.0;0.0;"Georg-August-Universität Göttingen"
74.0;157.0;71.0;0.0;"The Hebrew University of Jerusalem"
257.0;158.0;213.0;0.0;"Johns Hopkins University"
143.0;159.0;140.0;0.0;"Karl-Franzens-Universität Graz"
208.0;160.0;140.0;0.0;"Lancaster University"
257.0;161.0;213.0;0.0;"Marquette University"
257.0;162.0;213.0;0.0;"Michigan State University"
319.0;163.0;317.0;0.0;"Monash University"
162.0;164.0;140.0;0.0;"Philipps-Universität Marburg "
208.0;165.0;140.0;0.0;"Queen's University of Belfast"
187.0;166.0;140.0;0.0;"Radboud University Nijmegen"
257.0;167.0;213.0;0.0;"Syracuse University"
74.0;168.0;71.0;0.0;"Tel Aviv University"
319.0;169.0;317.0;0.0;"The University of Adelaide"
334.0;170.0;317.0;0.0;"The University of Auckland"
257.0;171.0;213.0;0.0;"The University of Georgia"
208.0;172.0;140.0;0.0;"The University of Nottingham"
208.0;173.0;140.0;0.0;"The University of Sheffield"
257.0;174.0;213.0;0.0;"Tufts University"
199.0;175.0;140.0;0.0;"University Complutense Madrid"
199.0;176.0;140.0;0.0;"University of Salamanca"
353.0;177.0;349.0;0.0;"Universidade de Brasilia (UnB)"
174.0;178.0;140.0;0.0;"University of Siena"
174.0;179.0;140.0;0.0;"University of Pisa"
205.0;180.0;140.0;0.0;"Université de Fribourg"
146.0;181.0;140.0;0.0;"Université Libre de Bruxelles (ULB)"
158.0;182.0;140.0;0.0;"University Toulouse – Jean Jaurès"
208.0;183.0;140.0;0.0;"University of Birmingham"
54.0;184.0;6.0;0.0;"University of Cape Town"
146.0;185.0;140.0;0.0;"University of Ghent"
208.0;186.0;140.0;0.0;"University of Hertfordshire"
257.0;187.0;213.0;0.0;"University of Illinois at Urbana-Champaign"
