"country_tid";"rank_law";"region_tid";"score_law";"title"
171.0;90.0;140.0;0.0;"University College Dublin"
334.0;91.0;317.0;0.0;"University of Canterbury"
146.0;92.0;140.0;0.0;"University of Ghent"
156.0;93.0;140.0;0.0;"University of Helsinki"
208.0;94.0;140.0;0.0;"University of Leeds"
257.0;95.0;213.0;0.0;"University of Notre Dame"
257.0;96.0;213.0;0.0;"University of Texas at Austin"
257.0;97.0;213.0;0.0;"University of Wisconsin-Madison"
187.0;98.0;140.0;0.0;"VU University Amsterdam"
100.0;99.0;71.0;0.0;"Waseda University"
222.0;100.0;213.0;0.0;"York University"
152.0;101.0;140.0;0.0;"Aarhus University"
257.0;102.0;213.0;0.0;"Arizona State University"
87.0;103.0;71.0;0.0;"Beijing Normal University "
87.0;104.0;71.0;0.0;"China University of Political Science and Law"
187.0;105.0;140.0;0.0;"Erasmus University Rotterdam"
257.0;106.0;213.0;0.0;"Fordham University"
162.0;107.0;140.0;0.0;"Freie Universität Berlin"
162.0;108.0;140.0;0.0;"Georg-August-Universität Göttingen"
257.0;109.0;213.0;0.0;"George Washington University"
124.0;110.0;71.0;0.0;"Nanyang Technological University, Singapore (NTU)"
355.0;111.0;349.0;0.0;"Pontificia Universidad Católica de Valparaíso"
124.0;112.0;71.0;0.0;"Singapore Management University"
355.0;113.0;349.0;0.0;"Universidad de Chile"
174.0;115.0;140.0;0.0;"Università degli Studi di Roma - Tor Vergata"
174.0;116.0;140.0;0.0;"University of Trento"
199.0;117.0;140.0;0.0;"Universitat Autònoma de Barcelona"
199.0;118.0;140.0;0.0;"Universitat Pompeu Fabra"
143.0;119.0;140.0;0.0;"University of Vienna"
222.0;120.0;213.0;0.0;"Université de Montréal "
158.0;121.0;140.0;0.0;"Université de Strasbourg"
113.0;122.0;71.0;0.0;"Universiti Kebangsaan Malaysia (UKM)"
113.0;123.0;71.0;0.0;"Universiti Malaya (UM)"
208.0;124.0;140.0;0.0;"University of Aberdeen"
146.0;125.0;140.0;0.0;"University of Antwerp"
208.0;126.0;140.0;0.0;"University of Birmingham"
257.0;127.0;213.0;0.0;"University of California, Davis"
205.0;128.0;140.0;0.0;"University of Geneva"
208.0;129.0;140.0;0.0;"University of Glasgow"
187.0;130.0;140.0;0.0;"University of Groningen"
257.0;131.0;213.0;0.0;"University of Illinois at Chicago"
208.0;132.0;140.0;0.0;"University of Leicester"
208.0;133.0;140.0;0.0;"University of Liverpool"
257.0;134.0;213.0;0.0;"University of Minnesota"
257.0;135.0;213.0;0.0;"University of North Carolina, Chapel Hill"
189.0;136.0;140.0;0.0;"University of Oslo"
54.0;137.0;6.0;0.0;"University of Pretoria"
208.0;138.0;140.0;0.0;"University of Reading"
257.0;139.0;213.0;0.0;"University of Southern California"
205.0;140.0;140.0;0.0;"University of St.Gallen (HSG)"
208.0;141.0;140.0;0.0;"University of Strathclyde"
319.0;142.0;317.0;0.0;"University of Technology, Sydney"
54.0;143.0;6.0;0.0;"University of the Witwatersrand"
222.0;144.0;213.0;0.0;"University of Victoria"
334.0;145.0;317.0;0.0;"University of Waikato"
257.0;146.0;213.0;0.0;"University of Washington"
205.0;147.0;140.0;0.0;"University of Zurich (UZH)"
146.0;148.0;140.0;0.0;"Vrije Universiteit Brussel (VUB)"
162.0;149.0;140.0;0.0;"Westfälische Wilhelms-Universität Münster "
106.0;150.0;71.0;0.0;"Yonsei University"
208.0;151.0;140.0;0.0;"Cardiff University"
208.0;152.0;140.0;0.0;"City University London"
257.0;153.0;213.0;0.0;"College of William & Mary"
