"country_tid";"rank_chemical";"region_tid";"score_chemical";"title"
319.0;55.0;317.0;0.0;"Curtin University"
87.0;56.0;71.0;0.0;"East China University of Science and Technology"
187.0;57.0;140.0;0.0;"Eindhoven University of Technology"
100.0;58.0;71.0;0.0;"Hokkaido University"
96.0;59.0;71.0;0.0;"Indian Institute of Science"
96.0;60.0;71.0;0.0;"Indian Institute of Technology Bombay (IITB)"
96.0;61.0;71.0;0.0;"Indian Institute of Technology Delhi (IITD)"
96.0;62.0;71.0;0.0;"Indian Institute of Technology Kanpur (IITK)"
96.0;63.0;71.0;0.0;"Indian Institute of Technology, Kharagpur"
96.0;64.0;71.0;0.0;"Indian Institute of Technology, Madras (IITM)"
257.0;65.0;213.0;0.0;"Johns Hopkins University"
146.0;66.0;140.0;0.0;"KU Leuven"
203.0;67.0;140.0;0.0;"KTH Royal Institute of Technology"
100.0;68.0;71.0;0.0;"Kyushu University"
222.0;69.0;213.0;0.0;"McGill University"
100.0;70.0;71.0;0.0;"Nagoya University"
189.0;71.0;140.0;0.0;"Norwegian University of Science And Technology"
257.0;72.0;213.0;0.0;"Pennsylvania State University"
174.0;73.0;140.0;0.0;"Politecnico di Milano"
174.0;74.0;140.0;0.0;"Politecnico di Torino"
257.0;75.0;213.0;0.0;"Rice University"
87.0;76.0;71.0;0.0;"Shanghai Jiao Tong University"
106.0;77.0;71.0;0.0;"Sungkyunkwan University"
162.0;78.0;140.0;0.0;"Technische Universität Berlin"
257.0;79.0;213.0;0.0;"Texas A&M University"
94.0;80.0;71.0;0.0;"The Chinese University of Hong Kong"
334.0;81.0;317.0;0.0;"The University of Auckland"
319.0;82.0;317.0;0.0;"The University of Sydney"
87.0;83.0;71.0;0.0;"Tianjin University"
199.0;84.0;140.0;0.0;"University Complutense Madrid"
353.0;85.0;349.0;0.0;"Universidade de São Paulo (USP)"
174.0;86.0;140.0;0.0;"University of Bologna"
158.0;87.0;140.0;0.0;"Université de Strasbourg"
113.0;88.0;71.0;0.0;"Universiti Malaya (UM)"
113.0;89.0;71.0;0.0;"Universiti Sains Malaysia (USM)"
208.0;90.0;140.0;0.0;"University of Birmingham"
222.0;91.0;213.0;0.0;"University of British Columbia"
257.0;92.0;213.0;0.0;"University of California, Davis"
257.0;93.0;213.0;0.0;"University of California, San Diego (UCSD)"
257.0;94.0;213.0;0.0;"University of Delaware"
208.0;95.0;140.0;0.0;"University of Edinburgh"
94.0;96.0;71.0;0.0;"The University of Hong Kong"
208.0;97.0;140.0;0.0;"University of Leeds"
257.0;98.0;213.0;0.0;"University of Massachusetts Amherst"
257.0;99.0;213.0;0.0;"University of Washington"
257.0;100.0;213.0;0.0;"Washington University in St. Louis"
106.0;101.0;71.0;0.0;"Yonsei University"
87.0;102.0;71.0;0.0;"Zhejiang University"
166.0;103.0;140.0;0.0;"Aristotle University of Thessaloniki"
87.0;104.0;71.0;0.0;"Beijing Institute of Technology"
87.0;105.0;71.0;0.0;"Beijing University of Chemical Technology"
257.0;106.0;213.0;0.0;"Brown University"
158.0;107.0;140.0;0.0;"Ecole Polytechnique"
106.0;108.0;71.0;0.0;"Hanyang University"
106.0;109.0;71.0;0.0;"Inha University"
134.0;110.0;71.0;0.0;"Istanbul Technical University"
77.0;111.0;71.0;0.0;"King Fahd University of Petroleum & Minerals"
222.0;112.0;213.0;0.0;"McMaster University"
257.0;113.0;213.0;0.0;"Michigan State University"
87.0;114.0;71.0;0.0;"Nanjing University"
128.0;115.0;71.0;0.0;"National Cheng Kung University"
128.0;116.0;71.0;0.0;"National Chiao Tung University"
128.0;117.0;71.0;0.0;"National Chung Hsing University"
208.0;118.0;140.0;0.0;"Newcastle University"
257.0;119.0;213.0;0.0;"North Carolina State University"
257.0;120.0;213.0;0.0;"Ohio State University"
174.0;121.0;140.0;0.0;"Sapienza University of Rome"
74.0;122.0;71.0;0.0;"Technion - Israel Institute of Technology"
162.0;123.0;140.0;0.0;"Technische Universität Dortmund"
162.0;124.0;140.0;0.0;"Technische Universität Dresden"
94.0;125.0;71.0;0.0;"The Hong Kong Polytechnic University"
208.0;126.0;140.0;0.0;"The University of Nottingham"
208.0;127.0;140.0;0.0;"The University of Sheffield"
222.0;128.0;213.0;0.0;"Western University"
241.0;129.0;213.0;0.0;"Universidad Nacional Autónoma de México (UNAM)"
199.0;130.0;140.0;0.0;"Universitat Politècnica de València"
353.0;131.0;349.0;0.0;"Universidade estadual de Campinas(Unicamp)"
