"country_tid";"rank_english";"region_tid";"score_english";"title"
208.0;45.0;140.0;64.6;"Queen Mary University of London (QMUL)"
124.0;46.0;71.0;64.4;"Nanyang Technological University, Singapore (NTU)"
257.0;47.0;213.0;64.1;"Ohio State University"
208.0;48.0;140.0;63.7;"King's College London (KCL)"
257.0;49.0;213.0;63.5;"Indiana University Bloomington"
54.0;50.0;6.0;62.6;"University of Cape Town"
208.0;51.0;140.0;0.0;"Birkbeck, University of London"
257.0;52.0;213.0;0.0;"Brown University"
257.0;53.0;213.0;0.0;"Case Western Reserve University"
257.0;54.0;213.0;0.0;"City University of New York"
222.0;55.0;213.0;0.0;"Concordia University"
257.0;56.0;213.0;0.0;"Dartmouth College"
208.0;57.0;140.0;0.0;"Durham University"
257.0;58.0;213.0;0.0;"Emory University"
162.0;59.0;140.0;0.0;"Freie Universität Berlin"
257.0;60.0;213.0;0.0;"Georgetown University"
162.0;61.0;140.0;0.0;"Humboldt-Universität zu Berlin"
257.0;62.0;213.0;0.0;"Johns Hopkins University"
146.0;63.0;140.0;0.0;"KU Leuven"
208.0;64.0;140.0;0.0;"Lancaster University"
257.0;65.0;213.0;0.0;"Massachusetts Institute of Technology (MIT) "
257.0;66.0;213.0;0.0;"Michigan State University"
171.0;67.0;140.0;0.0;"National University of Ireland Maynooth"
257.0;68.0;213.0;0.0;"Northwestern University"
87.0;69.0;71.0;0.0;"Peking University"
222.0;70.0;213.0;0.0;"Queen's University, Ontario"
208.0;71.0;140.0;0.0;"Queen's University of Belfast"
54.0;72.0;6.0;0.0;"Rhodes University "
208.0;73.0;140.0;0.0;"Royal Holloway University of London"
257.0;74.0;213.0;0.0;"Rutgers, The State University of New Jersey, New Brunswick"
319.0;75.0;317.0;0.0;"The University of Western Australia"
222.0;76.0;213.0;0.0;"Western University"
199.0;77.0;140.0;0.0;"University Complutense Madrid"
199.0;78.0;140.0;0.0;"University of Salamanca"
162.0;79.0;140.0;0.0;"Universität Freiburg"
158.0;80.0;140.0;0.0;"Université Paris-Sorbonne (Paris IV)"
158.0;81.0;140.0;0.0;"Université Sorbonne Nouvelle Paris 3"
171.0;82.0;140.0;0.0;"University College Dublin"
187.0;83.0;140.0;0.0;"University of Amsterdam"
222.0;84.0;213.0;0.0;"University of Calgary"
257.0;85.0;213.0;0.0;"University of California, Davis"
152.0;86.0;140.0;0.0;"University of Copenhagen"
208.0;87.0;140.0;0.0;"University of East Anglia (UEA)"
146.0;88.0;140.0;0.0;"University of Ghent"
156.0;89.0;140.0;0.0;"University of Helsinki"
257.0;90.0;213.0;0.0;"University of Illinois at Urbana-Champaign"
257.0;91.0;213.0;0.0;"University of Illinois at Chicago"
257.0;92.0;213.0;0.0;"University of Iowa"
257.0;93.0;213.0;0.0;"University of Maryland, College Park"
257.0;94.0;213.0;0.0;"University of Notre Dame"
208.0;95.0;140.0;0.0;"University of Reading"
208.0;96.0;140.0;0.0;"University of Southampton"
208.0;97.0;140.0;0.0;"University of St Andrews"
208.0;98.0;140.0;0.0;"University of Sussex"
54.0;99.0;6.0;0.0;"University of the Witwatersrand"
222.0;100.0;213.0;0.0;"University of Victoria"
257.0;101.0;213.0;0.0;"University of Washington"
