"country_tid";"rank_mechanical";"region_tid";"score_mechanical";"title"
113.0;142.0;71.0;0.0;"Universiti Teknologi Malaysia (UTM)"
208.0;143.0;140.0;0.0;"University of Bath"
208.0;144.0;140.0;0.0;"University of Birmingham"
257.0;145.0;213.0;0.0;"University of California, San Diego (UCSD)"
257.0;146.0;213.0;0.0;"University of Illinois at Chicago"
208.0;147.0;140.0;0.0;"University of Leeds"
87.0;148.0;71.0;0.0;"University of Science and Technology of China"
208.0;149.0;140.0;0.0;"University of Strathclyde"
222.0;150.0;213.0;0.0;"University of Waterloo"
156.0;151.0;140.0;0.0;"Aalto University"
96.0;152.0;71.0;0.0;"Anna University"
87.0;153.0;71.0;0.0;"Beihang University (former BUAA)"
87.0;154.0;71.0;0.0;"Beijing Jiaotong University"
208.0;155.0;140.0;0.0;"Cardiff University"
158.0;156.0;140.0;0.0;"Ecole Centrale de Paris"
158.0;157.0;140.0;0.0;"Grenoble INP, Grenoble Institute of Technology"
100.0;158.0;71.0;0.0;"Hokkaido University"
96.0;159.0;71.0;0.0;"Indian Institute of Technology Roorkee (IITR)"
241.0;160.0;213.0;0.0;"Instituto Politécnico Nacional (IPN)"
134.0;161.0;71.0;0.0;"Istanbul Technical University"
87.0;162.0;71.0;0.0;"Jilin University"
100.0;163.0;71.0;0.0;"Keio University"
193.0;164.0;140.0;0.0;"Lomonosov MSU"
87.0;165.0;71.0;0.0;"Nanjing University"
128.0;166.0;71.0;0.0;"National Sun Yat-sen University"
208.0;167.0;140.0;0.0;"Newcastle University"
106.0;168.0;71.0;0.0;"Pusan National University"
208.0;169.0;140.0;0.0;"Queen Mary University of London (QMUL)"
222.0;170.0;213.0;0.0;"Queen's University, Ontario"
143.0;171.0;140.0;0.0;"Vienna University of Technology"
319.0;172.0;317.0;0.0;"The University of Western Australia"
171.0;173.0;140.0;0.0;"Trinity College Dublin"
241.0;174.0;213.0;0.0;"Universidad Nacional Autónoma de México (UNAM)"
199.0;175.0;140.0;0.0;"Universitat Politècnica de València"
353.0;176.0;349.0;0.0;"Universidade Federal de Santa Catarina"
353.0;177.0;349.0;0.0;"Universidade Federal de São Carlos"
353.0;178.0;349.0;0.0;"Universidade Federal do Rio de Janeiro"
