"country_tid";"rank_economics";"region_tid";"score_economics";"title"
319.0;43.0;317.0;68.7;"The University of Queensland"
158.0;44.0;140.0;68.4;"Université Paris 1 Panthéon-Sorbonne "
319.0;45.0;317.0;68.1;"The University of New South Wales"
199.0;46.0;140.0;67.7;"Universidad Carlos III de Madrid"
257.0;47.0;213.0;67.2;"Boston University"
319.0;48.0;317.0;67.0;"The University of Sydney"
106.0;49.0;71.0;65.2;"Korea University"
187.0;50.0;140.0;65.1;"Tilburg University"
152.0;51.0;140.0;0.0;"Aarhus University"
257.0;53.0;213.0;0.0;"Carnegie Mellon University"
257.0;52.0;213.0;0.0;"California Institute of Technology (Caltech)"
257.0;54.0;213.0;0.0;"Dartmouth College"
87.0;55.0;71.0;0.0;"Fudan University"
353.0;56.0;349.0;0.0;"Fundação Getulio Vargas (FGV)"
100.0;57.0;71.0;0.0;"Hitotsubashi University"
146.0;58.0;140.0;0.0;"KU Leuven"
162.0;59.0;140.0;0.0;"Ludwig-Maximilians-Universität München"
203.0;60.0;140.0;0.0;"Lund University"
187.0;61.0;140.0;0.0;"Maastricht University"
222.0;62.0;213.0;0.0;"McGill University"
124.0;63.0;71.0;0.0;"Nanyang Technological University, Singapore (NTU)"
128.0;64.0;71.0;0.0;"National Taiwan University (NTU)"
100.0;65.0;71.0;0.0;"Osaka University"
257.0;66.0;213.0;0.0;"Pennsylvania State University"
355.0;67.0;349.0;0.0;"Pontificia Universidad Católica de Chile (UC)"
162.0;68.0;140.0;0.0;"Rheinische Friedrich-Wilhelms-Universität Bonn"
87.0;69.0;71.0;0.0;"Shanghai Jiao Tong University"
106.0;70.0;71.0;0.0;"Sungkyunkwan University"
94.0;71.0;71.0;0.0;"The Hong Kong Polytechnic University"
319.0;72.0;317.0;0.0;"The University of Adelaide"
334.0;73.0;317.0;0.0;"The University of Auckland"
208.0;74.0;140.0;0.0;"The University of Manchester"
208.0;75.0;140.0;0.0;"The University of Nottingham"
171.0;76.0;140.0;0.0;"Trinity College Dublin"
353.0;77.0;349.0;0.0;"Universidade de São Paulo (USP)"
174.0;78.0;140.0;0.0;"University of Bologna"
199.0;79.0;140.0;0.0;"Universitat Autònoma de Barcelona"
162.0;80.0;140.0;0.0;"Universität Mannheim"
146.0;81.0;140.0;0.0;"Université Catholique de Louvain (UCL)"
146.0;82.0;140.0;0.0;"Université Libre de Bruxelles (ULB)"
158.0;83.0;140.0;0.0;"Université Toulouse 1, Capitole"
187.0;84.0;140.0;0.0;"University of Amsterdam"
208.0;85.0;140.0;0.0;"University of Birmingham"
257.0;86.0;213.0;0.0;"University of California, Davis"
152.0;87.0;140.0;0.0;"University of Copenhagen"
208.0;88.0;140.0;0.0;"University of Edinburgh"
257.0;89.0;213.0;0.0;"University of Illinois at Urbana-Champaign"
257.0;90.0;213.0;0.0;"University of Maryland, College Park"
257.0;91.0;213.0;0.0;"University of Minnesota"
257.0;92.0;213.0;0.0;"University of Southern California"
257.0;93.0;213.0;0.0;"University of Texas at Austin"
257.0;94.0;213.0;0.0;"University of Wisconsin-Madison"
208.0;95.0;140.0;0.0;"University of York"
205.0;96.0;140.0;0.0;"University of Zurich (UZH)"
187.0;97.0;140.0;0.0;"VU University Amsterdam"
