"country_tid";"rank_accounting";"region_tid";"score_accounting";"title"
174.0;128.0;140.0;0.0;"University of Bologna"
162.0;129.0;140.0;0.0;"Universität Frankfurt am Main"
199.0;130.0;140.0;0.0;"Universitat Pompeu Fabra"
222.0;131.0;213.0;0.0;"Université du Québec"
208.0;132.0;140.0;0.0;"University of Bath"
208.0;133.0;140.0;0.0;"University of Bristol"
257.0;134.0;213.0;0.0;"University of California, Davis"
257.0;135.0;213.0;0.0;"University of California, San Diego (UCSD)"
257.0;136.0;213.0;0.0;"University of Florida"
205.0;137.0;140.0;0.0;"University of Geneva"
87.0;138.0;71.0;0.0;"University of International Business and Economics"
205.0;139.0;140.0;0.0;"University of Lausanne"
257.0;140.0;213.0;0.0;"University of Maryland, College Park"
208.0;141.0;140.0;0.0;"University of Reading"
87.0;142.0;71.0;0.0;"University of Science and Technology of China"
208.0;143.0;140.0;0.0;"University of Southampton"
257.0;144.0;213.0;0.0;"University of Virginia"
222.0;145.0;213.0;0.0;"University of Waterloo"
208.0;146.0;140.0;0.0;"University of York"
187.0;147.0;140.0;0.0;"VU University Amsterdam"
106.0;148.0;71.0;0.0;"Yonsei University"
222.0;149.0;213.0;0.0;"York University"
87.0;150.0;71.0;0.0;"Zhejiang University"
87.0;151.0;71.0;0.0;"Beijing Jiaotong University"
87.0;152.0;71.0;0.0;"Beijing University of Technology"
257.0;153.0;213.0;0.0;"Brigham Young University"
222.0;154.0;213.0;0.0;"Carleton University"
87.0;155.0;71.0;0.0;"Central University of Finance and Economics"
87.0;156.0;71.0;0.0;"China Agricultural University "
257.0;157.0;213.0;0.0;"City University of New York"
222.0;158.0;213.0;0.0;"Concordia University"
87.0;159.0;71.0;0.0;"East China Normal University"
162.0;160.0;140.0;0.0;"Eberhard Karls Universität Tübingen"
162.0;161.0;140.0;0.0;"Georg-August-Universität Göttingen"
257.0;162.0;213.0;0.0;"George Mason University"
257.0;163.0;213.0;0.0;"George Washington University"
257.0;164.0;213.0;0.0;"Iowa State University"
100.0;165.0;71.0;0.0;"Kobe University"
222.0;166.0;213.0;0.0;"Laval University"
162.0;167.0;140.0;0.0;"Leibniz Universität Hannover"
94.0;168.0;71.0;0.0;"Lingnan University (Hong Kong)"
128.0;169.0;71.0;0.0;"National Chung Hsing University"
171.0;170.0;140.0;0.0;"National University of Ireland, Galway"
257.0;171.0;213.0;0.0;"North Carolina State University"
87.0;172.0;71.0;0.0;"Renmin (People’s) University of China"
257.0;173.0;213.0;0.0;"Rutgers, The State University of New Jersey, New Brunswick"
222.0;174.0;213.0;0.0;"Simon Fraser University"
257.0;175.0;213.0;0.0;"Tulane University"
199.0;176.0;140.0;0.0;"Universidad de Zaragoza"
174.0;177.0;140.0;0.0;"University of Florence"
199.0;178.0;140.0;0.0;"Universitat de Valencia"
158.0;179.0;140.0;0.0;"Université Aix-Marseille"
257.0;180.0;213.0;0.0;"University of California, Riverside"
257.0;181.0;213.0;0.0;"University of California, Santa Cruz"
208.0;182.0;140.0;0.0;"University of Essex"
208.0;183.0;140.0;0.0;"The University of Exeter"
203.0;184.0;140.0;0.0;"University of Gothenburg"
187.0;185.0;140.0;0.0;"University of Groningen"
257.0;186.0;213.0;0.0;"University of Oregon"
222.0;187.0;213.0;0.0;"University of Ottawa"
208.0;188.0;140.0;0.0;"University of St Andrews"
257.0;189.0;213.0;0.0;"Vanderbilt University"
257.0;190.0;213.0;0.0;"Virginia Tech"
87.0;191.0;71.0;0.0;"Xiamen University"
87.0;192.0;71.0;0.0;"Xi'an Jiaotong University"
100.0;193.0;71.0;0.0;"Yokohama National University"
