"country_tid";"rank_communication";"region_tid";"score_communication";"title"
152.0;86.0;140.0;0.0;"University of Copenhagen"
208.0;87.0;140.0;0.0;"University of East Anglia (UEA)"
146.0;88.0;140.0;0.0;"University of Ghent"
208.0;89.0;140.0;0.0;"University of Glasgow"
156.0;90.0;140.0;0.0;"University of Helsinki"
257.0;91.0;213.0;0.0;"University of Illinois at Chicago"
208.0;92.0;140.0;0.0;"University of Leeds"
257.0;93.0;213.0;0.0;"University of Minnesota"
208.0;94.0;140.0;0.0;"University of Sussex"
154.0;95.0;140.0;0.0;"University of Tartu"
319.0;96.0;317.0;0.0;"University of Technology, Sydney"
257.0;97.0;213.0;0.0;"The University of Tennessee, Knoxville"
187.0;98.0;140.0;0.0;"University of Twente"
257.0;99.0;213.0;0.0;"University of Washington"
205.0;100.0;140.0;0.0;"University of Zurich (UZH)"
187.0;101.0;140.0;0.0;"Utrecht University"
257.0;102.0;213.0;0.0;"Boston University"
257.0;103.0;213.0;0.0;"Brown University"
106.0;104.0;71.0;0.0;"Chung-Ang University(CAU)"
222.0;105.0;213.0;0.0;"Concordia University"
187.0;106.0;140.0;0.0;"Erasmus University Rotterdam"
106.0;107.0;71.0;0.0;"Ewha Womans University"
257.0;108.0;213.0;0.0;"Florida State University"
87.0;109.0;71.0;0.0;"Fudan University"
257.0;110.0;213.0;0.0;"George Mason University"
106.0;111.0;71.0;0.0;"Hanyang University"
74.0;112.0;71.0;0.0;"The Hebrew University of Jerusalem"
94.0;113.0;71.0;0.0;"Hong Kong Baptist University"
257.0;114.0;213.0;0.0;"Johns Hopkins University"
203.0;115.0;140.0;0.0;"Lund University"
128.0;116.0;71.0;0.0;"National Chengchi University"
208.0;117.0;140.0;0.0;"Queen Mary University of London (QMUL)"
187.0;118.0;140.0;0.0;"Radboud University Nijmegen"
162.0;119.0;140.0;0.0;"RWTH Aachen University"
319.0;120.0;317.0;0.0;"RMIT University"
174.0;121.0;140.0;0.0;"Sapienza University of Rome"
222.0;122.0;213.0;0.0;"Simon Fraser University"
162.0;123.0;140.0;0.0;"Technische Universität Berlin"
162.0;124.0;140.0;0.0;"Technische Universität Dresden"
257.0;125.0;213.0;0.0;"Temple University"
208.0;126.0;140.0;0.0;"The University of Sheffield"
222.0;127.0;213.0;0.0;"Western University"
87.0;128.0;71.0;0.0;"Tsinghua University"
353.0;129.0;349.0;0.0;"Universidade Federal do Rio de Janeiro"
162.0;130.0;140.0;0.0;"Universität Bremen"
