"country_tid";"rank_environmental";"region_tid";"score_environmental";"title"
257.0;145.0;213.0;0.0;"University of California, Riverside"
54.0;146.0;6.0;0.0;"University of Cape Town"
208.0;147.0;140.0;0.0;"University of Liverpool"
222.0;148.0;213.0;0.0;"University of Saskatchewan"
208.0;149.0;140.0;0.0;"University of York"
205.0;150.0;140.0;0.0;"University of Zurich (UZH)"
257.0;151.0;213.0;0.0;"Virginia Tech"
87.0;152.0;71.0;0.0;"Zhejiang University"
152.0;153.0;140.0;0.0;"Aalborg University"
166.0;154.0;140.0;0.0;"Aristotle University of Thessaloniki"
208.0;155.0;140.0;0.0;"Cardiff University"
162.0;156.0;140.0;0.0;"Georg-August-Universität Göttingen"
96.0;157.0;71.0;0.0;"Indian Institute of Science"
96.0;158.0;71.0;0.0;"Indian Institute of Technology Bombay (IITB)"
241.0;159.0;213.0;0.0;"Instituto Politécnico Nacional (IPN)"
100.0;160.0;71.0;0.0;"Kyushu University"
222.0;161.0;213.0;0.0;"Laval University"
319.0;162.0;317.0;0.0;"Macquarie University"
87.0;163.0;71.0;0.0;"Nanjing University"
128.0;164.0;71.0;0.0;"National Taiwan University of Science And Technology (formerly National Taiwan Institute of Technology)"
208.0;165.0;140.0;0.0;"Newcastle University"
257.0;166.0;213.0;0.0;"North Carolina State University"
355.0;167.0;349.0;0.0;"Pontificia Universidad Católica de Chile (UC)"
222.0;168.0;213.0;0.0;"Queen's University, Ontario"
208.0;169.0;140.0;0.0;"Queen's University of Belfast"
162.0;170.0;140.0;0.0;"RWTH Aachen University"
257.0;171.0;213.0;0.0;"Rice University"
100.0;172.0;71.0;0.0;"Tohoku University"
203.0;173.0;140.0;0.0;"Umeå universitet"
199.0;174.0;140.0;0.0;"Universidad Autónoma de Madrid"
199.0;175.0;140.0;0.0;"University Complutense Madrid"
355.0;176.0;349.0;0.0;"Universidad de Chile"
199.0;177.0;140.0;0.0;"Universidade de Santiago de Compostela"
162.0;178.0;140.0;0.0;"Universität Freiburg"
113.0;179.0;71.0;0.0;"Universiti Malaya (UM)"
171.0;180.0;140.0;0.0;"University College Dublin"
334.0;181.0;317.0;0.0;"University of Canterbury"
257.0;182.0;213.0;0.0;"University of Chicago"
191.0;183.0;140.0;0.0;"University of Coimbra"
208.0;184.0;140.0;0.0;"The University of Exeter"
187.0;185.0;140.0;0.0;"University of Groningen"
257.0;186.0;213.0;0.0;"University of Iowa"
205.0;187.0;140.0;0.0;"University of Lausanne"
257.0;188.0;213.0;0.0;"University of Miami"
257.0;189.0;213.0;0.0;"University of Montana Missoula "
257.0;190.0;213.0;0.0;"University of Nebraska - Lincoln"
319.0;191.0;317.0;0.0;"The University of Newcastle, Australia (UoN)"
334.0;192.0;317.0;0.0;"University of Otago"
222.0;193.0;213.0;0.0;"University of Ottawa"
208.0;194.0;140.0;0.0;"Plymouth University"
87.0;195.0;71.0;0.0;"University of Science and Technology of China"
208.0;196.0;140.0;0.0;"University of Surrey"
208.0;197.0;140.0;0.0;"University of Sussex"
100.0;198.0;71.0;0.0;"University of Tsukuba"
257.0;199.0;213.0;0.0;"University of Virginia"
257.0;200.0;213.0;0.0;"Washington State University"
