"country_tid";"rank_languages";"region_tid";"score_languages";"title"
257.0;121.0;213.0;0.0;"Rutgers, The State University of New Jersey, New Brunswick"
106.0;122.0;71.0;0.0;"Sungkyunkwan University"
208.0;123.0;140.0;0.0;"The University of Nottingham"
319.0;124.0;317.0;0.0;"The University of Western Australia"
199.0;125.0;140.0;0.0;"Universidad Autónoma de Madrid"
357.0;126.0;349.0;0.0;"Universidad Nacional de Colombia"
350.0;127.0;349.0;0.0;"Universidad Nacional de Córdoba"
353.0;128.0;349.0;0.0;"Universidade do Estado do Rio de Janeiro (UERJ)"
353.0;129.0;349.0;0.0;"Universidade Federal de Minas Gerais   "
199.0;130.0;140.0;0.0;"Universitat Autònoma de Barcelona"
199.0;131.0;140.0;0.0;"University of Barcelona"
162.0;132.0;140.0;0.0;"Universität Konstanz"
222.0;133.0;213.0;0.0;"Université de Montréal "
146.0;134.0;140.0;0.0;"Université Libre de Bruxelles (ULB)"
222.0;135.0;213.0;0.0;"University of Alberta"
189.0;136.0;140.0;0.0;"University of Bergen"
257.0;137.0;213.0;0.0;"UC Irvine - Extension, English and Certificates for Internationals"
54.0;138.0;6.0;0.0;"University of Cape Town"
208.0;139.0;140.0;0.0;"The University of Exeter"
146.0;140.0;140.0;0.0;"University of Ghent"
208.0;141.0;140.0;0.0;"University of Glasgow"
208.0;142.0;140.0;0.0;"University of Reading"
208.0;143.0;140.0;0.0;"University of Sussex"
169.0;144.0;140.0;0.0;"University of Szeged"
257.0;145.0;213.0;0.0;"University of Texas at Austin"
334.0;146.0;317.0;0.0;"University of Waikato"
190.0;147.0;140.0;0.0;"University of Warsaw "
205.0;148.0;140.0;0.0;"University of Zurich (UZH)"
203.0;149.0;140.0;0.0;"Uppsala University"
334.0;150.0;317.0;0.0;"Victoria University of Wellington"
187.0;151.0;140.0;0.0;"VU University Amsterdam"
87.0;152.0;71.0;0.0;"Beijing Foreign Studies University"
257.0;153.0;213.0;0.0;"Boston College"
257.0;154.0;213.0;0.0;"Carnegie Mellon University"
131.0;155.0;71.0;0.0;"Chulalongkorn University"
257.0;156.0;213.0;0.0;"City University of New York"
158.0;157.0;140.0;0.0;"École Normale Supérieure de Lyon"
106.0;158.0;71.0;0.0;"Ewha Womans University"
100.0;159.0;71.0;0.0;"Hitotsubashi University"
94.0;160.0;71.0;0.0;"Hong Kong Baptist University"
113.0;161.0;71.0;0.0;"International Islamic University Malaysia (IIUM)"
257.0;162.0;213.0;0.0;"Johns Hopkins University"
77.0;163.0;71.0;0.0;"King Abdul Aziz University (KAU)"
94.0;164.0;71.0;0.0;"Lingnan University (Hong Kong)"
203.0;165.0;140.0;0.0;"Lund University"
319.0;166.0;317.0;0.0;"Macquarie University"
128.0;167.0;71.0;0.0;"National Sun Yat-sen University"
128.0;168.0;71.0;0.0;"National Tsing Hua University"
208.0;169.0;140.0;0.0;"Oxford Brookes University"
355.0;170.0;349.0;0.0;"Pontificia Universidad Católica de Chile (UC)"
208.0;171.0;140.0;0.0;"Queen Mary University of London (QMUL)"
162.0;172.0;140.0;0.0;"Rheinische Friedrich-Wilhelms-Universität Bonn"
203.0;173.0;140.0;0.0;"Stockholm University"
241.0;174.0;213.0;0.0;"Tec de Monterrey"
319.0;175.0;317.0;0.0;"The University of New South Wales"
100.0;176.0;71.0;0.0;"Tohoku University"
353.0;177.0;349.0;0.0;"Universidade de Brasilia (UnB)"
353.0;178.0;349.0;0.0;"Universidade Federal de Santa Catarina"
353.0;179.0;349.0;0.0;"Universidade Federal do Rio Grande Do Sul"
174.0;180.0;140.0;0.0;"University of Florence"
174.0;181.0;140.0;0.0;"University of Turin"
162.0;182.0;140.0;0.0;"Universität Mannheim"
158.0;183.0;140.0;0.0;"Université Jean Moulin Lyon 3"
158.0;184.0;140.0;0.0;"Université Sorbonne Nouvelle Paris 3"
146.0;185.0;140.0;0.0;"University of Antwerp"
257.0;186.0;213.0;0.0;"University of California, San Diego (UCSD)"
334.0;187.0;317.0;0.0;"University of Canterbury"
169.0;188.0;140.0;0.0;"University of Debrecen"
171.0;189.0;140.0;0.0;"University of Limerick"
191.0;190.0;140.0;0.0;"University of Lisbon "
257.0;191.0;213.0;0.0;"University of Massachusetts Amherst"
257.0;192.0;213.0;0.0;"University of North Carolina, Chapel Hill"
257.0;193.0;213.0;0.0;"University of Notre Dame"
189.0;194.0;140.0;0.0;"University of Oslo"
257.0;195.0;213.0;0.0;"University of Pittsburgh"
154.0;196.0;140.0;0.0;"University of Tartu"
100.0;197.0;71.0;0.0;"University of Tsukuba"
257.0;198.0;213.0;0.0;"University of Virginia"
