"country_tid";"rank_medicine";"region_tid";"score_medicine";"title"
257.0;158.0;213.0;0.0;"George Washington University"
257.0;159.0;213.0;0.0;"Georgetown University"
100.0;160.0;71.0;0.0;"Hokkaido University"
162.0;161.0;140.0;0.0;"Johannes Gutenberg Universität Mainz"
106.0;162.0;71.0;0.0;"Korea University"
222.0;163.0;213.0;0.0;"Laval University"
128.0;164.0;71.0;0.0;"National Cheng Kung University"
128.0;165.0;71.0;0.0;"National Yang Ming University"
355.0;166.0;349.0;0.0;"Pontificia Universidad Católica de Chile (UC)"
222.0;167.0;213.0;0.0;"Queen's University, Ontario"
208.0;168.0;140.0;0.0;"Queen's University of Belfast"
162.0;169.0;140.0;0.0;"RWTH Aachen University"
74.0;170.0;71.0;0.0;"Technion - Israel Institute of Technology"
162.0;171.0;140.0;0.0;"Technische Universität Dresden"
222.0;172.0;213.0;0.0;"Western University"
87.0;173.0;71.0;0.0;"Tsinghua University"
350.0;174.0;349.0;0.0;"Universidad de Buenos Aires"
355.0;175.0;349.0;0.0;"Universidad de Chile"
353.0;176.0;349.0;0.0;"Universidade Federal de Minas Gerais   "
353.0;177.0;349.0;0.0;"Universidade Federal do Rio de Janeiro"
353.0;178.0;349.0;0.0;"Universidade Federal do Rio Grande Do Sul"
174.0;179.0;140.0;0.0;"University of Florence"
174.0;180.0;140.0;0.0;"University of Padua"
199.0;181.0;140.0;0.0;"Universitat Autònoma de Barcelona"
162.0;182.0;140.0;0.0;"Universität Düsseldorf"
162.0;183.0;140.0;0.0;"Friedrich-Alexander-Universität Erlangen-Nürnberg"
162.0;184.0;140.0;0.0;"Universität Ulm"
158.0;185.0;140.0;0.0;"Université Aix-Marseille"
158.0;186.0;140.0;0.0;"Université de Strasbourg"
113.0;187.0;71.0;0.0;"Universiti Malaya (UM)"
171.0;188.0;140.0;0.0;"University College Cork"
171.0;189.0;140.0;0.0;"University College Dublin"
146.0;190.0;140.0;0.0;"University of Antwerp"
189.0;191.0;140.0;0.0;"University of Bergen"
257.0;192.0;213.0;0.0;"UC Irvine - Extension, English and Certificates for Internationals"
208.0;193.0;140.0;0.0;"University of East Anglia (UEA)"
257.0;194.0;213.0;0.0;"University of Illinois at Urbana-Champaign"
257.0;195.0;213.0;0.0;"University of Iowa"
319.0;196.0;317.0;0.0;"The University of Newcastle, Australia (UoN)"
54.0;197.0;6.0;0.0;"University of the Witwatersrand"
100.0;198.0;71.0;0.0;"University of Tsukuba"
156.0;199.0;140.0;0.0;"University of Turku"
208.0;200.0;140.0;0.0;"University of York"
146.0;201.0;140.0;0.0;"Vrije Universiteit Brussel (VUB)"
